StdReturn,Total cost,MeanKL,MaxReturn,AverageReturn,Perplexity,LossBefore,MinReturn,ExplainedVariance,MeanKLBefore,Entropy,dLoss,AveragePolicyStd,AverageDiscountedReturn,LossAfter,NumTrajs,Iteration
28.4975340027,255.21213729528975,0.00578910247985,-174.484363216,-249.700040456,4.13273135412,1.00497388189e-09,-307.502838976,4.79227768579e-12,0.0,1.4189385332,31462.4791549,1.0,-161.889718436,-31462.4791549,204,0
27.4572227798,253.4255386073947,0.00996419816191,-174.685680593,-246.739931389,4.16600677873,1.14384168803e-08,-319.580059206,0.895426317763,0.0,1.42695796999,51713.1591375,1.0080516786,-160.358765594,-51713.1591375,204,1
32.5498903104,257.3149915468381,0.00849735171184,-161.764181726,-251.217448968,4.11444102033,-2.38083996962e-09,-332.154932619,0.888152797773,0.0,1.41450298537,34820.9537437,0.995574274681,-163.478092508,-34820.9537437,204,2
30.8324682931,246.981302911891,0.00935802127246,-174.246566396,-239.99965397,4.09317837017,-5.0487836134e-09,-308.325803182,0.88000090021,0.0,1.40932177588,46760.1035902,0.990429335816,-156.601964851,-46760.1035902,204,3
33.6164503713,255.4646177681794,0.00745426602027,-168.522445356,-248.901303994,4.10594316328,-1.81971104851e-09,-320.240597311,0.884145340159,0.0,1.41243547614,34513.1601451,0.993518042054,-162.219926185,-34513.1601451,204,4
28.4172854515,252.0809318086907,0.00737472267479,-175.365964463,-245.417404826,4.11304876033,2.46049014496e-09,-317.562020707,0.888154027876,0.0,1.41416454435,41099.1247958,0.99523738852,-159.88209884,-41099.1247958,204,5
29.8346957261,251.68041817470777,0.00957985694347,-147.605501451,-245.859117564,4.17620282699,-1.79891657126e-09,-315.368276437,0.889703753213,0.0,1.42940241908,47096.57055,1.01051882379,-159.55165472,-47096.5705501,204,6
33.8306523024,247.3407053604925,0.00538144953691,-167.441947576,-241.204518951,4.24633196302,-3.49587025994e-09,-316.413982286,0.877004114311,0.0,1.44605554275,23869.6601147,1.02748802164,-157.932686741,-23869.6601147,204,7
35.188182389,254.97037044664575,0.00848286637707,-153.686157831,-248.483038643,4.24257429869,1.66516800348e-09,-320.273531618,0.884310707481,0.0,1.44517023092,36850.1090963,1.02657877688,-161.937725402,-36850.1090963,204,8
34.4084219319,257.545370631032,0.00739172212437,-163.819984159,-250.702447231,4.16127372672,-6.40296149435e-09,-313.693179166,0.884974770636,0.0,1.42582121172,33810.4618349,1.00690641858,-163.023766771,-33810.4618349,204,9
32.9525648417,248.25435442464,0.00792866116906,-166.098654071,-241.638580634,4.09811080129,3.17362802704e-09,-328.338545305,0.872766631883,0.0,1.41052608735,38455.6876764,0.991622839748,-157.803804385,-38455.6876764,204,10
34.1578123032,240.05328195976978,0.00722640334667,-152.786778578,-230.920633704,4.09709605629,-4.60591009777e-09,-314.293151941,0.854321356179,0.0,1.41027844381,30816.7190015,0.991377301164,-152.991498254,-30816.7190015,204,11
34.2535056129,253.19641699804734,0.00929326714589,-168.244365325,-245.496605107,4.11398286736,2.11995976329e-09,-315.502793454,0.867715798923,0.0,1.41439162675,49997.3824189,0.995463415075,-160.09366397,-49997.3824189,204,12
34.6573098885,242.75398802971893,0.00991620680851,-168.885778795,-234.166946402,4.14957193488,1.79796177946e-09,-329.19337882,0.859682836617,0.0,1.4230051807,41741.8708128,1.00407492753,-154.792697728,-41741.8708128,204,13
33.5930075445,236.70225509422215,0.00957679241506,-168.161970768,-228.125611244,4.13126249982,-3.77283204678e-09,-325.235747392,0.863202688016,0.0,1.41858305029,36420.3397926,0.999644580261,-151.037039923,-36420.3397926,204,14
36.5881726878,244.44410822775427,0.00615206838617,-151.161076279,-236.641175242,4.07343700961,2.70597433349e-10,-317.09857606,0.865749245636,0.0,1.40448711719,27588.2335143,0.985652504499,-156.024300999,-27588.2335143,204,15
35.5450999175,247.8076825839093,0.00704832428354,-163.881343101,-239.295754573,4.06717541311,3.94402427384e-09,-312.836252865,0.872461858978,0.0,1.40294875683,32740.5182868,0.984137381457,-157.486725765,-32740.5182868,204,16
34.4973097664,248.54385226571816,0.00932012740628,-158.349673023,-240.028972775,3.97121172271,3.69404506984e-09,-355.882543796,0.8732841969,0.0,1.37907126796,45225.7832341,0.960916977763,-157.681053457,-45225.7832341,204,17
32.1609985169,248.8124764309019,0.00849028112641,-167.868231337,-240.818481075,3.89860963593,5.62433155604e-09,-325.032431621,0.87828941971,0.0,1.36061998597,39079.0222574,0.943349398223,-158.146590135,-39079.0222574,203,18
36.5569143649,252.44822647587395,0.00510080301196,-168.927328795,-245.99305325,3.87308632584,7.35589367196e-10,-343.661652085,0.870145102064,0.0,1.35405168943,25446.2573663,0.93717350439,-161.084311572,-25446.2573663,204,19
37.6809221993,248.7254232348848,0.00589766461977,-167.245236255,-241.286336643,3.86761343583,4.58427740213e-09,-328.390257708,0.858609584769,0.0,1.35263763357,25272.5197313,0.935849225228,-159.037687491,-25272.5197313,204,20
39.6353539106,250.71926342160933,0.00902591504699,-161.56578838,-242.991403517,3.87316640293,-1.76756317916e-09,-319.640791514,0.860565499059,0.0,1.35407236448,37636.1017618,0.937192880701,-160.377491297,-37636.1017618,204,21
35.6580649404,243.04756187815562,0.00725542718218,-152.243712442,-235.301643565,3.8871521406,2.11452522159e-09,-319.429744144,0.860890617551,0.0,1.35767679199,33985.5426598,0.940577019778,-155.71657686,-33985.5426598,204,22
33.8790301951,237.1786086133893,0.0066937236916,-156.704253388,-229.111012286,3.85280806798,3.69595465344e-09,-310.633817642,0.870708803228,0.0,1.34880225075,30612.0623046,0.932266759643,-151.691964362,-30612.0623045,204,23
38.9666798819,247.9178490699154,0.00649474980906,-164.659018096,-240.097566446,3.85280456771,1.87969639853e-09,-323.982396166,0.865681841406,0.0,1.34880134225,31553.8341469,0.932265912678,-159.04344519,-31553.8341469,204,24
36.2561443836,241.5569047400042,0.00965789932937,-162.862765233,-232.94900565,3.74507669557,1.41726630432e-09,-312.812207442,0.865181880547,0.0,1.32044209622,43717.7051225,0.906198921406,-154.879179106,-43717.7051225,204,25
29.723403783,226.46566903489213,0.0087831090835,-154.738104028,-216.388493595,3.78373225033,8.30269186736e-10,-309.690453847,0.868331003026,0.0,1.33071089032,37683.100408,0.915552433999,-144.555338811,-37683.100408,204,26
31.1697290251,231.88172441468294,0.00614647216633,-159.978990713,-222.11811902,3.78983378867,8.5641271852e-09,-310.551078687,0.873845286702,0.0,1.3323221629,33908.2050253,0.917028827652,-148.078540796,-33908.2050252,204,27
29.6938945288,224.41809580747397,0.00628193634706,-151.15038154,-213.054056128,3.77793166541,3.56275842162e-09,-296.013556018,0.856502864708,0.0,1.32917668141,38035.3511067,0.914148862263,-142.112999246,-38035.3511067,204,28
