StdReturn,AverageReturn,MeanKL,dLoss,AveragePolicyStd,NumTrajs,ExplainedVariance,AverageDiscountedReturn,Entropy,MeanKLBefore,Iteration,MinReturn,Perplexity,LossAfter,LossBefore,MaxReturn,Total cost
28.2955386127,-249.487233608,0.00425728242229,2.95357385122,1.0,204,4.80482320597e-12,-161.766561252,1.4189385332,0.0,0,-307.502838976,4.13273135412,-2.95357385122,-0.0,-174.484363216,255.48826542924317
29.5493802665,-246.854276856,0.00655777840545,4.64751843034,0.989126775797,204,0.901883175495,-159.987588988,1.40800576347,0.0,1,-319.277887005,4.08779523954,-4.64751843034,-2.13605727871e-14,-170.98333263,253.12444671948882
31.6573015203,-255.212840024,0.00337397453189,30.1372379744,0.996404832496,203,0.891190424958,-165.227151271,1.41533688755,0.0,2,-320.000000898,4.11787349266,-30.1372379744,1.21126123381e-14,-170.18504416,259.8457078967767
33.8355832862,-255.587577035,0.00603980248639,49.7862524073,0.979968217208,204,0.892137206123,-166.627404323,1.39870339394,0.0,3,-327.744474297,4.0499453773,-49.7862524073,6.39067844995e-15,-163.115770724,259.74831437210236
32.2357423169,-245.089633021,0.00142737555855,11.5010725848,0.966262307223,204,0.879837642699,-160.003809078,1.38461859114,0.0,4,-314.065402765,3.99330253337,-11.5010725848,-6.71153998085e-15,-169.233197047,250.60408149366697
36.1096498612,-245.118244761,0.00297205727983,23.3922846819,0.966549448629,204,0.873602402997,-160.697433858,1.38491571414,0.0,5,-318.913082548,3.99448921166,-23.3922846819,-3.54548482616e-14,-162.385359779,250.6636849934553
39.1832956714,-250.316646408,0.00191854843327,3.11147804913,0.963751218173,204,0.87254660959,-164.169508013,1.38201644309,0.0,6,-329.277661467,3.98292487692,-3.11147804913,-3.03321308604e-14,-156.184836114,254.85104021851896
40.3806405962,-252.22368296,0.00947083408881,0.118510436869,0.958875626214,204,0.874187729583,-165.405184438,1.37694462957,0.0,7,-323.113943816,3.96277536516,-0.118510436869,-2.36651601851e-14,-154.73025401,257.45552089351384
38.1434096454,-244.305311205,0.00258754512214,3.93036617957,0.936908446602,204,0.864110362488,-159.646274703,1.35376882262,0.0,8,-316.526101989,3.87199091322,-3.93036617957,-2.97560024896e-15,-155.370885462,250.55809080903492
40.1584767486,-245.823588947,0.00135344078933,16.4561107237,0.934524489387,204,0.868685113622,-160.836219603,1.35122108665,0.0,9,-317.474376478,3.86213865849,-16.4561107237,-2.90635733913e-16,-157.298263819,250.6102269169212
34.9687207145,-245.060640512,0.00690837029379,1.45841404337,0.931348005005,203,0.878929867822,-160.168271639,1.34781625865,0.0,10,-313.029956198,3.84901110188,-1.45841404337,2.9341933209e-14,-155.038603946,250.23129434567693
35.4191573404,-245.104943707,0.00548196503794,15.5203075067,0.942458822364,204,0.881900132469,-159.963287029,1.35967548279,0.0,11,-336.789390287,3.89492912515,-15.5203075067,5.10109973145e-14,-148.799365188,250.93130774699523
37.125786376,-232.027286556,0.00640967379532,40.8363734915,0.919254692992,204,0.851115290537,-152.021661307,1.33474647963,0.0,12,-301.340692117,3.79903269215,-40.8363734915,5.90318903349e-14,-145.053085015,238.6614554234931
32.0457865152,-223.464777058,0.00498255904196,22.6108488206,0.916194072524,204,0.85070234006,-146.257119444,1.33141146602,0.0,13,-295.78155907,3.78638396998,-22.6108488206,2.74675985207e-14,-154.525673788,231.96380164393565
38.9692078882,-211.271187983,0.00365620418318,8.88591027385,0.912873723698,203,0.808557154818,-140.016777476,1.32778081605,0.0,14,-311.114308751,3.77266186028,-8.88591027385,1.55138526632e-14,-133.305690503,220.07588314251512
35.4433976736,-207.598012011,0.00149971471344,6.80614349918,0.909112507246,203,0.827325333836,-137.832616685,1.32365211109,0.0,15,-298.837522547,3.75711776312,-6.80614349918,-7.95123407285e-15,-129.587290857,216.93073779107976
38.7533041012,-208.503431951,0.00258456272184,12.4444531584,0.905486855208,204,0.808350323174,-137.980900198,1.31965601483,0.0,16,-306.905745169,3.74213391726,-12.4444531584,-5.99265123993e-14,-122.990258028,219.37874872784695
39.2423223451,-217.901071624,0.00142503748422,7.68689865684,0.903871606437,204,0.821748117525,-142.489581317,1.31787057625,0.0,17,-302.290191364,3.73545852802,-7.68689865684,1.64101504346e-14,-136.615093421,227.30193917907323
