Iteration,AverageReturn,AveragePolicyStd,ExplainedVariance,dLoss,NumTrajs,MinReturn,LossAfter,MaxReturn,MeanKLBefore,Entropy,AverageDiscountedReturn,Total cost,StdReturn,LossBefore,Perplexity,MeanKL
0,-248.800105515,1.0,4.82769380028e-12,0.0209694690702,404,-317.20288847,-0.0209694690702,-178.700790775,0.0,1.4189385332,-161.429004021,354.0978285005092,29.0283176895,-0.0,4.13273135412,0.00076506493747
1,-248.912443962,1.00101939155,0.907710398528,0.0246097505677,404,-323.707483084,-0.0246097505677,-187.754040487,0.0,1.41995740552,-161.777331916,352.4105776290415,27.4421867446,2.13341352048e-16,4.13694422553,0.000753305697558
2,-251.537573888,0.996506857405,0.907571783112,0.00278371981146,404,-326.429949109,-0.00278371981146,-181.850856316,0.0,1.41543927534,-163.245832075,352.1089678840284,28.6342139374,1.83158108127e-17,4.11829513419,0.0016661570331
3,-255.744854672,0.987024632348,0.903494415276,0.0257502307683,404,-323.912978832,-0.0257502307683,-169.661423137,0.0,1.40587825013,-165.723025671,351.8844594328077,30.2407033713,8.73269504111e-17,4.0791076454,0.00121140032501
4,-254.766291787,0.986168013976,0.904518130328,0.0443255762619,404,-334.008933332,-0.0443255762619,-170.411197787,0.0,1.40500999388,-165.496911901,345.348492257752,29.5337539792,1.67250696813e-16,4.07556747179,0.000861736162646
5,-255.645975924,0.976827702173,0.90267288277,0.0248299497056,404,-331.57534067,-0.0248299497056,-170.968809628,0.0,1.39549353674,-166.379002847,343.611467566829,31.8421667985,-9.8618190162e-17,4.03696647234,0.00056946947156
6,-261.885633869,0.972464690302,0.912286422939,0.0292134144261,404,-329.630417656,-0.0292134144261,-178.426484468,0.0,1.39101702088,-169.908856248,347.3509484619402,29.2667660503,7.62204229903e-17,4.01893531639,0.00102862958669
7,-264.044048984,0.969104531581,0.915586457654,0.0216722170862,404,-336.706846572,-0.0216722170862,-184.51961316,0.0,1.38755573602,-171.283988425,346.90639620301494,29.8184619153,-7.47430573919e-18,4.00504868309,0.000573809587801
8,-263.613286728,0.964443706867,0.904901701567,0.0136170938957,404,-334.673942704,-0.0136170938957,-168.46195871,0.0,1.38273471977,-170.907655378,343.1495852141022,32.5857298855,1.56757334199e-16,3.98578674666,0.00180322930474
9,-263.015611145,0.950337967557,0.909946778819,0.0200640811103,404,-329.117891636,-0.0200640811103,-160.244335147,0.0,1.36800093087,-170.609958108,340.68411926012993,30.443544746,2.02513295853e-17,3.92749151554,0.00107742238303
10,-263.995162991,0.944502372097,0.910614133465,0.00482423518565,404,-339.736296041,-0.00482423518565,-163.290783258,0.0,1.36184145265,-171.063499375,337.6764842533303,31.9315474498,7.30144218639e-18,3.90337456721,0.00199744758324
11,-268.786518508,0.923305186772,0.915049887954,0.0232230944536,404,-333.05199232,-0.0232230944536,-176.492754824,0.0,1.33914308063,-173.845825226,337.0163381233977,30.1868493284,8.39257780953e-17,3.8157722948,0.000716522747756
12,-270.843625096,0.914658411237,0.920064190845,0.0332925045403,404,-336.870046572,-0.0332925045403,-170.654630404,0.0,1.32973392874,-175.264744446,334.4861120245457,30.0994078367,4.32018485061e-17,3.78003749443,0.00107266977845
13,-269.572336676,0.906377266454,0.912000595498,0.00951198926927,404,-350.452682333,-0.00951198926927,-171.57660164,0.0,1.32063888248,-174.36252047,332.55875452678777,32.2525244329,-2.65501237988e-16,3.74581374774,0.00194568370993
14,-263.884815444,0.903350680275,0.911471275174,0.0248135572727,404,-336.759977918,-0.0248135572727,-180.017663083,0.0,1.3172940825,-170.947100848,327.5618109403388,30.5628655263,-7.90911565104e-17,3.73330568014,0.00085008763289
15,-269.537263021,0.897000168922,0.915951956053,0.0156374954492,404,-333.516790919,-0.0156374954492,-170.923904952,0.0,1.3102393046,-174.118611978,331.6119421666831,30.0330769778,4.42111537281e-17,3.70706072276,0.00102248145138
16,-269.514598869,0.896867230017,0.907988896091,0.0203156599976,403,-352.167682268,-0.0203156599976,-166.297207365,0.0,1.31009108974,-174.365106347,330.71515548377755,32.9321409579,1.69440849394e-16,3.70651132198,0.00124406266614
