dLoss,AveragePolicyStd,Perplexity,ExplainedVariance,Iteration,MaxReturn,NumTrajs,AverageReturn,LossBefore,MinReturn,MeanKLBefore,Entropy,LossAfter,AverageDiscountedReturn,StdReturn,MeanKL
10.5547343985,1.0,4.13273135412,1.96642702122e-12,0,-1154.89617075,34,-1377.9802337,-500.0,-1530.03692363,0.0,1.4189385332,-510.554734398,-282.426435,89.3215657353,0.00948235020431
16.6795458466,0.994416642914,4.10965683923,0.950251730374,1,-1273.83926219,34,-1443.66662713,-500.0,-1529.07677172,0.0,1.41333953092,-516.679545847,-291.075860407,62.1961946358,0.00916667996794
9.51467794645,1.00220261381,4.14183416526,0.924371219017,2,-1210.7391555,34,-1383.51831317,-500.0,-1512.81203966,0.0,1.42113872481,-509.514677946,-284.308567182,76.3832763843,0.00701603777519
14.0838076041,0.987141627302,4.07959115411,0.928748538372,3,-1207.54442357,34,-1377.6812923,-500.0,-1510.61099962,0.0,1.40599677607,-514.083807604,-280.043863691,76.8696920256,0.00912889759329
12.6283473981,1.00952128925,4.17208028474,0.930713208544,4,-1230.27097978,34,-1344.20612659,-500.0,-1452.02214138,0.0,1.42841478066,-512.628347398,-278.687563414,58.6976715238,0.00781448399214
11.1478653393,1.00065618166,4.13544317666,0.927258880006,5,-1255.84471735,34,-1368.51737461,-500.0,-1506.06128179,0.0,1.41959449968,-511.147865339,-281.009901471,65.2491974758,0.00774650464509
11.2271007819,0.994258456954,4.10900309915,0.947901113574,6,-1272.3476577,34,-1432.37672373,-500.0,-1528.02756491,0.0,1.41318044414,-511.227100782,-287.428928911,65.9860682151,0.00692984571097
6.36105233827,0.99597706906,4.11610566129,0.930550338674,7,-1252.75544845,34,-1417.65628295,-500.0,-1551.42518222,0.0,1.41490748851,-506.361052338,-292.350283835,81.0233996323,0.00903538221463
13.9017487254,0.995217917922,4.11296829358,0.954403174742,8,-1323.60833428,34,-1464.34762638,-500.0,-1556.30693212,0.0,1.41414498039,-513.901748725,-296.764799768,54.5700774934,0.00766632684011
16.020751353,0.993463153485,4.10571632357,0.910212337619,9,-1160.97583859,34,-1379.3519283,-500.0,-1576.72022161,0.0,1.41238022794,-516.020751353,-284.939667296,104.967298842,0.00696164484664
21.6690031459,0.991040257561,4.09570314562,0.92262956128,10,-1138.50549019,34,-1390.65423139,-500.0,-1579.00946821,0.0,1.4099384109,-521.669003146,-291.249830891,109.966891528,0.00811450600525
13.7925719684,0.990716121398,4.09436357794,0.90022566502,11,-1101.1855457,34,-1302.23264167,-500.0,-1534.30175468,0.0,1.4096112908,-513.792571968,-277.618427659,112.094849809,0.0062642742314
11.2627403174,1.00432076689,4.15058792292,0.921450824635,12,-1145.00063405,34,-1334.66173429,-500.0,-1523.58211244,0.0,1.42324999238,-511.262740317,-284.329452272,99.7580255664,0.00742758630444
21.0055082892,1.01114373579,4.17878542042,0.890179478352,13,-1133.51113515,34,-1331.70809191,-500.0,-1537.41714734,0.0,1.43002063504,-521.005508289,-279.030429646,112.000031625,0.00884527224931
16.6850544497,1.01475552805,4.19371198754,0.916349027433,14,-1187.32587819,34,-1366.94908388,-500.0,-1543.09158459,0.0,1.43358625762,-516.68505445,-282.591011145,90.6611660963,0.00788369179802
18.3260134712,1.02696321402,4.24416307412,0.908574347381,15,-1121.13487834,34,-1347.34615594,-500.0,-1515.18843242,0.0,1.44554464464,-518.326013471,-280.237631599,104.874588057,0.00831331574385
14.6560032076,1.03861347425,4.29231046983,0.90690133958,16,-1194.19831442,34,-1330.84139782,-500.0,-1499.92957198,0.0,1.45682515902,-514.656003208,-280.604056235,91.0162616022,0.00886052447632
10.7663770998,1.01550494648,4.19680913258,0.910413412393,17,-1169.34364531,34,-1360.72577679,-500.0,-1538.97168991,0.0,1.43432450621,-510.7663771,-286.348585159,100.266781765,0.00769006828274
18.2434280916,1.01543133461,4.19650491449,0.909271958063,18,-1101.36501974,34,-1378.35584302,-500.0,-1534.24791443,0.0,1.43425201563,-518.243428092,-287.352051133,102.832946684,0.00674507657302
