MeanKLBefore,AverageDiscountedReturn,NumTrajs,AveragePolicyStd,AverageReturn,MeanKL,dLoss,StdReturn,Total cost,MaxReturn,Iteration,MinReturn,Perplexity,LossAfter,Entropy,LossBefore,ExplainedVariance
0.0,-161.601275465,204,1.0,-249.204623864,0.00969915281775,897.048187135,28.6157426636,255.10410432531094,-174.484363216,0,-307.502838976,4.13273135412,-897.048187135,1.4189385332,5.39568389968e-11,4.8016035592e-12
0.0,-161.961036535,203,1.00512495246,-248.920241532,0.0069855746024,755.296598223,27.0716570043,255.36559879284192,-181.234496142,1,-309.907819026,4.15391140586,-755.296598224,1.4240503978,-5.58159074515e-11,0.899214877609
0.0,-169.254505288,204,0.996328227863,-259.31450682,0.00700831407968,717.831108542,31.8640816214,263.60877682914935,-173.912640525,2,-327.923004257,4.11755690629,-717.831108542,1.41526000357,-8.89954221428e-11,0.89662179478
0.0,-168.224648785,204,1.00363276501,-258.601777198,0.00656230233376,612.078794992,30.8274975509,262.2145231237991,-178.557222004,3,-337.908375878,4.14774459598,-612.078794992,1.42256471566,-2.39739339492e-11,0.902893329236
0.0,-170.283276856,204,1.00702988608,-261.380215355,0.00874061562534,797.523089933,31.2512868898,264.707738602467,-182.111104942,4,-327.235846246,4.16178398473,-797.523089933,1.42594382483,3.97950561393e-11,0.907865358483
0.0,-168.006472952,204,1.01627846678,-258.918087585,0.00562208498772,560.174200367,28.853055443,262.9399333891607,-185.577691856,5,-322.145157991,4.20000588418,-560.174200367,1.43508592628,-6.90780765922e-12,0.908533744815
0.0,-176.756772744,204,1.0247783639,-271.494751749,0.00619592168559,630.224306158,29.8860902481,274.61418859456467,-186.15033921,6,-333.520644542,4.23513367552,-630.224306158,1.44341489207,-1.96045901735e-10,0.916733076433
0.0,-176.740754485,204,1.04374451778,-271.654206858,0.00632539753337,702.365332788,27.5173082409,274.6885661856158,-185.678903017,7,-335.933445053,4.31351569432,-702.365332788,1.46175327795,-1.1305412162e-10,0.928074739288
0.0,-181.398686872,204,1.05032682291,-278.481677521,0.00596236240996,769.768874838,30.6241189837,282.16246483895026,-195.158690069,8,-356.108371972,4.3407185931,-769.768874838,1.46803990885,-2.68047806173e-11,0.925655152761
0.0,-173.323811931,204,1.0400371937,-266.25614775,0.00655193571557,544.752675562,30.920331276,268.81976787438174,-178.532431132,9,-330.311761297,4.29819431985,-544.752675562,1.45819500889,1.9748647162e-12,0.910226254587
0.0,-178.248934001,204,1.03757755492,-272.801737515,0.00570645910447,733.077686969,29.296484776,275.81664142776646,-192.186620924,10,-341.811137528,4.28802929356,-733.077686969,1.45582725527,-6.01725336224e-11,0.925724569538
0.0,-179.136614274,204,1.03715033748,-275.413693136,0.00896511094615,867.387766935,27.7899928255,278.3211963169235,-194.219878646,11,-339.535143358,4.28626371862,-867.387766935,1.4554154254,-5.11195530351e-11,0.927240498509
0.0,-170.351027795,204,1.04741769603,-261.82825127,0.00800768129446,764.069584517,33.4646920791,265.3265938523001,-184.435801758,12,-346.516660352,4.32869595326,-764.069584517,1.46526633113,4.14472900445e-11,0.897291978786
0.0,-165.992246472,204,1.0669529845,-256.452168329,0.00902163874702,866.048949679,31.6450167282,260.95148668880347,-175.505560507,13,-316.087740489,4.40943005244,-866.048949679,1.4837454413,-4.73348166219e-11,0.899814868313
0.0,-166.288345608,204,1.07405700495,-256.00896533,0.00775700739236,856.86171769,30.0536717846,261.25623526838257,-177.031694705,14,-321.70440737,4.43878906049,-856.86171769,1.49038160512,-1.10800257858e-10,0.904327292487
0.0,-159.097104576,204,1.0680708536,-244.770850116,0.00875433021682,818.847894987,30.6050225525,252.8913681449636,-170.143592298,15,-309.868940146,4.41404990511,-818.847894987,1.48479261387,6.07769390371e-12,0.886476917516
0.0,-160.269658108,204,1.05409238889,-246.048997118,0.00605290174281,685.25169088,30.3387130719,254.60784802614216,-162.771793584,16,-308.126206986,4.35628066571,-685.25169088,1.47161863498,-3.01991764928e-12,0.892804244695
0.0,-164.160300379,204,1.03970873507,-251.769803522,0.00728872325625,872.901396769,29.0952681512,257.48501652719926,-172.034108993,17,-316.146034647,4.29683688858,-872.901396769,1.4578791447,-4.46491732475e-11,0.907331862033
0.0,-158.918867188,204,1.03366647439,-243.542560697,0.00943833407143,1299.6868861,24.2152393208,250.44090693999854,-188.03117479,18,-306.941563977,4.2718658484,-1299.6868861,1.45205069864,7.02518043738e-11,0.913023387303
0.0,-159.272918483,204,1.01525771298,-244.188914651,0.00628174444074,802.101066429,27.0857054193,250.68574071319813,-173.774934371,19,-314.275843408,4.19578738296,-802.101066429,1.43408101789,1.04685704549e-10,0.911048667229
0.0,-157.60967308,204,1.01008941787,-241.994848615,0.00766783213699,1186.53944699,22.474962128,248.5227846195391,-187.765696777,20,-300.507302858,4.17442820771,-1186.53944699,1.42897739269,5.9017235543e-11,0.924319765023
0.0,-155.135841866,204,1.01740953066,-237.917426117,0.00614053144414,1029.60292982,22.4376091359,245.8055508543482,-187.822849894,21,-297.2040431,4.20468026733,-1029.60292982,1.43619825423,-7.52482520738e-11,0.925512456085
0.0,-153.096801205,204,1.02846547821,-236.157687919,0.00624548627427,851.164385998,21.2379860264,245.55817120013324,-175.978899459,22,-292.806872483,4.25037152845,-851.164385998,1.44700639757,2.04600225651e-11,0.930103181621
0.0,-149.652193422,204,1.02800973161,-231.154888582,0.00713111409637,1414.41211652,16.3450153489,244.16016597670716,-197.848902048,23,-306.436329968,4.24848805019,-1414.41211652,1.44656316674,-6.36022345901e-11,0.947903600505
0.0,-148.816759548,204,0.993486961667,-229.556753949,0.00892344099535,1638.83666034,13.6008005111,241.9377053726534,-191.83424456,24,-275.750064401,4.10581471639,-1638.83666034,1.41240419249,1.94911531359e-10,0.955580298022
0.0,-149.304329401,204,0.972383807378,-230.838850174,0.00715272642208,1332.43780179,16.501556413,241.9347298352742,-191.382270352,25,-288.095486771,4.01860104899,-1332.43780179,1.3909338443,-2.19402329638e-10,0.944642224073
0.0,-148.265151949,204,0.96894606996,-227.893922016,0.00664629948824,1478.91992677,15.1352526269,240.8672879509647,-192.1119578,26,-287.807574415,4.00439380378,-1478.91992677,1.38739220921,-8.74268435425e-11,0.953167212806
0.0,-149.596968832,204,0.987043038044,-231.478663413,0.00574057015158,1261.3775005,16.91125007,244.08207794422808,-187.494618538,27,-290.108016249,4.07918371119,-1261.3775005,1.40589689761,-1.92855731385e-10,0.942115446977
0.0,-151.664695075,204,0.985905010049,-233.064328708,0.00828385757024,1013.67327226,22.1954126966,241.36045277546785,-181.55862625,28,-299.321566033,4.07448054722,-1013.67327226,1.40474326549,5.54195023206e-11,0.921488794658
0.0,-152.405235505,204,0.988271867599,-234.344052223,0.00741862303135,1225.84805746,20.2105002538,243.1018999829847,-187.474173646,29,-289.783787351,4.08426213362,-1225.84805746,1.40714108375,6.53632148406e-11,0.935964991961
0.0,-152.364551531,204,0.97569818226,-233.375752826,0.00623914485027,1115.44726586,20.5439220268,241.15513353702408,-181.483229414,30,-297.475998484,4.03229846998,-1115.44726586,1.39433655332,-4.18611811881e-11,0.932424908556
0.0,-154.559351721,203,0.9952493102,-237.73258095,0.00694017424991,1215.81454183,22.5948790882,245.93603116855823,-172.657145657,31,-318.810846438,4.11309802943,-1215.81454183,1.41417652301,9.22486531607e-11,0.922330191728
0.0,-152.518276317,204,0.994382424244,-233.192939031,0.00545746647574,846.765322656,21.7040901253,240.84772468864008,-172.147653871,32,-309.333955916,4.10951542266,-846.765322656,1.41330511953,-1.41261780051e-10,0.928385902445
0.0,-148.553494845,204,0.99389264145,-227.927129986,0.0068326791729,1005.54766293,23.2099363252,237.07287118511343,-159.817384687,33,-296.285431942,4.10749128195,-1005.54766293,1.41281244846,5.8326399266e-12,0.911761676886
0.0,-149.377948975,204,1.00561866406,-228.83126806,0.00767361756089,1169.15097733,21.925992191,237.38814504346377,-170.711244533,34,-279.358761609,4.15595178325,-1169.15097733,1.42454147145,2.15661100089e-11,0.918657278265
0.0,-149.550192601,204,1.01612372878,-229.078293904,0.00938703138224,1260.89806754,22.7042811283,238.99243966337767,-175.631309744,35,-291.91731005,4.19936639361,-1260.89806754,1.43493365524,5.42210720766e-12,0.912062120382
0.0,-149.523080849,204,1.01775855962,-226.7993112,0.00887597657549,1277.15856562,22.1696165488,236.1461343785178,-171.548767155,36,-292.28489755,4.20612271028,-1277.15856562,1.43654125191,-4.3613113121e-11,0.913859919357
0.0,-148.584565664,204,1.01481766324,-225.557726968,0.00686770111121,1242.28587839,20.1341593248,235.27788423558272,-173.172161594,37,-289.477834411,4.19396877558,-1242.28587839,1.43364748743,1.43982825662e-10,0.929110616551
0.0,-148.302893936,204,1.01460220247,-226.229857256,0.00720263800626,1119.88896314,19.6637751815,236.20351163587358,-172.24370736,38,-287.667398796,4.19307833411,-1119.88896314,1.43343515013,1.41854750169e-10,0.928994197407
0.0,-147.242001897,204,0.996896712241,-223.737124776,0.0077161404678,1013.76646926,22.8329321131,233.84452719419684,-174.87170234,39,-289.434068775,4.1199062995,-1013.76646926,1.41583042026,-9.22055765074e-11,0.908436575967
0.0,-147.484129135,204,0.986420867133,-223.523704544,0.00995628749044,1508.23607553,21.7231643814,233.45958006016266,-166.705131521,40,-287.690845331,4.07661244596,-1508.23607553,1.40526636069,-1.26717525362e-10,0.918016590454
0.0,-147.468084722,204,0.95641185826,-224.36709071,0.00589167190216,810.255345611,23.7483212135,235.5906121959853,-166.851212116,41,-306.047435225,3.95259327409,-810.255345611,1.37437188858,-9.06168473591e-11,0.909133066268
0.0,-147.632074069,204,0.97058682546,-224.056111704,0.00953961249708,1377.28297097,20.850058196,235.75692433386786,-168.288629405,42,-284.097267011,4.01117460548,-1377.28297097,1.3890841175,6.55114851256e-11,0.922912444042
0.0,-152.757102181,204,0.972652626141,-232.14925169,0.00880748832444,1310.99724527,20.6791728942,241.60984932416338,-169.935659708,43,-305.110300959,4.01971200472,-1310.99724527,1.39121025945,-8.28603852199e-11,0.926127565349
0.0,-148.637955244,204,0.965121171847,-223.735475295,0.00687917890805,1162.89798389,20.1614859261,234.98260196001493,-176.78156756,44,-287.657009363,3.98858652742,-1162.89798389,1.38343691436,1.10986331237e-10,0.93237400364
0.0,-151.103230462,204,0.962402480891,-229.714928967,0.00596246579373,947.236394969,21.6788335118,241.33506724442526,-166.391143853,45,-290.622019997,3.97735090806,-947.236394969,1.3806159967,-1.81323622783e-10,0.924666614258
0.0,-151.67899833,204,0.972250927938,-230.60391068,0.00669466169874,1082.77466066,22.2859727807,241.59078075121505,-172.942194714,46,-287.003437772,4.01805189396,-1082.77466066,1.39079718168,4.48191150859e-10,0.927682341554
0.0,-151.783920191,204,0.95065783738,-229.266774868,0.00706493282017,1170.62393632,20.4787118591,240.1871021275144,-179.360764059,47,-294.228088647,3.92881345158,-1170.62393632,1.36833745958,1.11269993219e-10,0.923505636139
